Protein.Group	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	protein	Protein.Names	Genes	group
P54922	-0.00450236915870499	-0.5168474609439764	0.5078427226265665	11.097587853491044	-0.01910624426924066	0.9850644107931601	0.9920972045275257	-6.321559600379238	P54922	ADPRH_HUMAN	ADPRH	not significant
O15294	-0.13644424395577026	-0.35686949401639956	0.08398100610485906	14.981782799739209	-1.2385226758765613	0.22040815329167163	0.437556488517853	-6.3218602646738535	O15294	OGT1_HUMAN	OGT	not significant
Q6ZT21	0.14099812058117178	-0.10028193438364505	0.38227817554598864	12.701387912787904	1.1742046925698155	0.24596148938965642	0.46708956795347617	-6.321996703330136	Q6ZT21	TMPPE_HUMAN	TMPPE	not significant
Q5SRI9	-0.12417808107539842	-0.8559611130175181	0.6076049508667213	13.648252774919856	-0.361206296921073	0.7229054072864102	0.8515580728250592	-6.322021215841173	Q5SRI9	MANEA_HUMAN	MANEA	not significant
P19013	-0.785172678996822	-3.668661306321809	2.098315948328165	19.85348441680397	-0.5617108072905215	0.5794713050298088	0.7602695761081675	-6.32275117759838	P19013	K2C4_HUMAN	KRT4	not significant
Q96MW5	-0.13127294719207136	-0.33914016801796343	0.07659427363382071	16.056029035487448	-1.2623019585634712	0.21155001592438638	0.4297613493479281	-6.323376753595863	Q96MW5	COG8_HUMAN	COG8	not significant
A0AV96	-0.1404931511148123	-0.36298801397312364	0.08200171174349899	16.000490310220027	-1.2621448376494546	0.21160616388482473	0.4297613493479281	-6.32357193394854	A0AV96	RBM47_HUMAN	RBM47	not significant
Q9BQ50	0.13607908655072276	-0.6968575858357086	0.9690157589371541	15.607522157648804	0.35231004213307626	0.7301527347231023	0.856461181981061	-6.32401612266371	Q9BQ50	TREX2_HUMAN	TREX2	not significant
Q8NBN3	0.06289575757268842	-0.585159114270258	0.7109506294156348	14.02703197199113	0.20550200365414453	0.8397346289843087	0.9170622630882631	-6.324040632314651	Q8NBN3	TM87A_HUMAN	TMEM87A	not significant
O95163	0.08125807720443749	-0.04639933483344914	0.20891548924232411	16.20751732148464	1.2719160936364893	0.20806079076749345	0.42533992048211017	-6.324071940592857	O95163	ELP1_HUMAN	ELP1	not significant
Q15102	-0.13167209170970612	-0.3386330305523975	0.07528884713298528	16.66540013430543	-1.2712861212645195	0.2082833038262216	0.42536010501092053	-6.324860283027561	Q15102	PA1B3_HUMAN	PAFAH1B3	not significant
Q15120	-0.18459035043238628	-0.5569755977292327	0.18779489686446008	14.282998778680009	-1.0009079438187645	0.32270900327089524	0.5441493686289691	-6.325051216324425	Q15120	PDK3_HUMAN	PDK3	not significant
Q49B96	-0.16885567127160814	-0.672801818662729	0.3350904761195127	12.97484756963948	-0.694461213627287	0.4945861729064178	0.6941601561752148	-6.325216354674409	Q49B96	COX19_HUMAN	COX19	not significant
P31943	-0.13269830698754245	-0.3413407173942816	0.07594410341919672	17.417818137357518	-1.2708688867946816	0.2084307727567904	0.42536010501092053	-6.325382202727806	P31943	HNRH1_HUMAN	HNRNPH1	not significant
Q9NZD2	0.24533669323936444	-0.14065435049415784	0.6313277369728867	15.113687315828882	1.2704550668852113	0.2086515789211206	0.42566363561593723	-6.325857902846743	Q9NZD2	GLTP_HUMAN	GLTP	not significant
O43633	-0.10101380348369818	-0.25994369561862307	0.057916088651226744	16.19722910263256	-1.2700274044817152	0.20872842515708503	0.42567336981275694	-6.326434320102807	O43633	CHM2A_HUMAN	CHMP2A	not significant
Q7RTV0	-0.1729659402914263	-0.46629508830763083	0.12036320772477821	14.359938344240701	-1.1820900535863725	0.2423269171118515	0.4631768129911942	-6.326532481447671	Q7RTV0	PHF5A_HUMAN	PHF5A	not significant
O15551	-0.17029799231126694	-0.49226513618227374	0.1516691515597399	14.348383168726357	-1.0672477020548679	0.29192271163590616	0.5132764319504798	-6.326689719413026	O15551	CLD3_HUMAN	CLDN3	not significant
P35575	-0.14136720975883788	-0.3657931964352167	0.08305877691754093	13.554106499320952	-1.2590691213007517	0.21270750965665475	0.4308129465131011	-6.327388034231795	P35575	G6PC1_HUMAN	G6PC1	not significant
P00505	-0.06034063327161005	-0.1553550698516173	0.03467380330839718	25.141385030532998	-1.2689900686767166	0.2090957894987979	0.4261282721807799	-6.327730404855497	P00505	AATM_HUMAN	GOT2	not significant
Q8TB61	-0.21766533581001257	-0.6226918656901257	0.1873611940701006	14.37431302521913	-1.0816022103055514	0.28503862106545763	0.5075182683185387	-6.3286921054280665	Q8TB61	S35B2_HUMAN	SLC35B2	not significant
A2VDF0	-0.09029592437371231	-0.23267598297025985	0.05208413422283523	18.49172503334698	-1.2672343539227222	0.20971865447689542	0.42700302545076657	-6.329921765546402	A2VDF0	FUCM_HUMAN	FUOM	not significant
Q96C90	0.2019378231908246	-0.3341085152858086	0.7379841616674578	13.14059576776644	0.7680856861363379	0.44820463572748903	0.6555464533448613	-6.329984241467956	Q96C90	PP14B_HUMAN	PPP1R14B	not significant
Q9UHY7	0.11643765931494986	-0.06717259620250988	0.3000479148324096	15.938857550714012	1.2671688499291012	0.20974191954498372	0.42700302545076657	-6.330003467282144	Q9UHY7	ENOPH_HUMAN	ENOPH1	not significant
Q9Y289	0.0310786646297565	-0.7412199416712935	0.8033772709308065	13.881084648844533	0.08388049642801643	0.9339757639936257	0.9667344433660848	-6.330436813422156	Q9Y289	SC5A6_HUMAN	SLC5A6	not significant
Q9UBX1	-0.20881765791642956	-0.602561262615721	0.18492594678286187	14.257849641316275	-1.0716607347776963	0.2902587548810626	0.5122663882546297	-6.331435722015387	Q9UBX1	CATF_HUMAN	CTSF	not significant
Q96SB4	0.06443187659280337	-0.6212474621840038	0.7501112153696106	13.268151624228937	0.1980495809445933	0.8453235157809554	0.919468640249285	-6.333172592642422	Q96SB4	SRPK1_HUMAN	SRPK1	not significant
P22415;Q15853	-0.21612030489805195	-0.78121599338109	0.3489753835849861	13.041851273086825	-0.7819234634784471	0.44054685938004934	0.6486835580898956	-6.3334446568747085	P22415;Q15853	USF1_HUMAN;USF2_HUMAN	USF1;USF2	not significant
Q99442	0.10706124586798	-0.06214667094619632	0.27626916268215634	14.854872707407928	1.2642983498711164	0.2107633154507276	0.4283441641610451	-6.333579839503267	Q99442	SEC62_HUMAN	SEC62	not significant
O43896	0.13759847582135312	-0.09884018103192685	0.3740371326746331	13.149293031393293	1.167668690883822	0.24824287501713332	0.46930935334545115	-6.3345046104513045	O43896	KIF1C_HUMAN	KIF1C	not significant
Q9UNX4	-0.07492853511330048	-0.6530716034073302	0.5032145331807293	12.389209355275103	-0.27587009381258715	0.7863548016227022	0.8862412447210359	-6.33483959056309	Q9UNX4	WDR3_HUMAN	WDR3	not significant
P20292	0.16539158598600148	-0.5683770704861313	0.8991602424581342	14.650217460681128	0.47506000159131445	0.6407087992046846	0.8063725265800679	-6.334855486750953	P20292	AL5AP_HUMAN	ALOX5AP	not significant
O14786	-0.17705852469045413	-0.488081519461511	0.13396447008060275	13.717806592490657	-1.143296022829462	0.25833505195324374	0.47873448912326877	-6.335037073088821	O14786	NRP1_HUMAN	NRP1	not significant
Q08499	-0.16255096202420488	-0.4993064514094553	0.17420452736104552	14.493873959026253	-0.9769726478838814	0.3347239370500752	0.5560842678530925	-6.335668370520598	Q08499	PDE4D_HUMAN	PDE4D	not significant
Q9BXD5	0.16824512850885973	-0.17999935523015023	0.5164896122478697	14.91618445959877	0.9815774293516315	0.33319441154637974	0.5546353423317133	-6.33610288611179	Q9BXD5	NPL_HUMAN	NPL	not significant
P21589	-0.09073858782000732	-0.23690829389411855	0.055431118254103906	19.09712555674709	-1.2412213346959056	0.21925791094947256	0.4363458735949621	-6.336123432824444	P21589	5NTD_HUMAN	NT5E	not significant
Q96HW7	-0.16868628980611725	-0.4727842110169532	0.13541163140471876	15.864763432022318	-1.115787112972389	0.2701576860406226	0.4914312389706175	-6.336271732182378	Q96HW7	INT4_HUMAN	INTS4	not significant
Q16647	0.15965885326840015	-0.17282438074133613	0.49214208727813646	14.729392551013976	0.9756399306510435	0.3360869599430186	0.5574079150304599	-6.3364032370335375	Q16647	PTGIS_HUMAN	PTGIS	not significant
Q9NT62	0.08871868234122134	-0.05181994036808228	0.22925730505052494	16.23667010962385	1.2614131287240327	0.21179365705896525	0.4299942724614125	-6.337166784790327	Q9NT62	ATG3_HUMAN	ATG3	not significant
P48382	-0.07460422240049738	-0.5504839113451214	0.4012754665441266	12.894299628013911	-0.3380740681031579	0.740610109451703	0.8608273495893497	-6.337625672545209	P48382	RFX5_HUMAN	RFX5	not significant
P00491	0.12111681778510199	-0.07089017173172778	0.31312380730193173	20.094381770734145	1.2604492675134635	0.2121386908469068	0.43025106735639823	-6.338363333980846	P00491	PNPH_HUMAN	PNP	not significant
Q9UPT8	0.15781056875092636	-0.10894883562485336	0.4245699731267061	14.64491636282208	1.1859367786191153	0.24081704669979204	0.46087669404049636	-6.3388260083498515	Q9UPT8	ZC3H4_HUMAN	ZC3H4	not significant
Q9NWT1	-0.16977778343777336	-0.5335915404869679	0.19403597361142114	13.692112546119118	-0.9481303599128019	0.3497082803431819	0.5689744087346645	-6.33901690479443	Q9NWT1	PK1IP_HUMAN	PAK1IP1	not significant
O00291	-0.12516826123523064	-0.32381606052581335	0.07347953805535204	15.671041878345147	-1.2590657731445678	0.21263466737353814	0.4308129465131011	-6.340079301118249	O00291	HIP1_HUMAN	HIP1	not significant
Q9BZV2	0.07637165398668654	-0.5727547789388777	0.7254980869122508	11.785171690785164	0.25043533508499055	0.8055966417399945	0.8978776686386879	-6.340452332161791	Q9BZV2	S19A3_HUMAN	SLC19A3	not significant
Q96ER3	-0.13831416156447557	-0.8265067539399302	0.5498784308109792	16.012155065285285	-0.42780844995573564	0.6747764951716071	0.8300833119107501	-6.340455291003335	Q96ER3	SAAL1_HUMAN	SAAL1	not significant
O75368	0.12535298183375107	-0.0737522228555536	0.32445818652305575	16.030531993876362	1.2580271482109395	0.2130075728311778	0.4309772953548942	-6.341366344466713	O75368	SH3L1_HUMAN	SH3BGRL	not significant
Q9BTX1	0.1597974630428585	-0.11129937780055768	0.4308943038862747	13.715416713512132	1.1811671817605813	0.24259731723382066	0.4632965235621756	-6.341406635221565	Q9BTX1	NDC1_HUMAN	NDC1	not significant
P21953	-0.09156852377305953	-0.6564156542877628	0.47327860674164374	12.973428505212265	-0.34325887425372525	0.735808548789236	0.8587805973214355	-6.341685762812164	P21953	ODBB_HUMAN	BCKDHB	not significant
Q6UXN9	-0.05882146034656494	-0.8856722588216944	0.7680293381285644	12.161490535467214	-0.14993494440285576	0.8825566256562181	0.9401838800731643	-6.341750957736023	Q6UXN9	WDR82_HUMAN	WDR82	not significant
P22234	-0.08869339735461959	-0.2296662668969917	0.05227947218775253	21.842266090436333	-1.2571691277156483	0.21331599893923484	0.431280598821241	-6.342428824595194	P22234	PUR6_HUMAN	PAICS	not significant
Q16610	0.2676858500839418	-0.15788724119007935	0.693258941357963	19.09037496428383	1.2568666763819998	0.21342479745293466	0.431280598821241	-6.342803183420468	Q16610	ECM1_HUMAN	ECM1	not significant
O14980	-0.07359131540826859	-0.19059488364874422	0.04341225283220705	18.611457278998774	-1.2567978124822266	0.21344957506848755	0.431280598821241	-6.3428884076696965	O14980	XPO1_HUMAN	XPO1	not significant
Q8TCD5	-0.10750706165778048	-0.27846461619829066	0.06345049288272966	16.202283387399323	-1.2565698992084378	0.21353159469433636	0.4312987682163989	-6.343170435799302	Q8TCD5	NT5C_HUMAN	NT5C	not significant
Q969J3	-0.14573473524269562	-0.37758082428184336	0.0861113537964521	14.00915833434785	-1.2560336046748755	0.21372468398392788	0.4315411909774626	-6.343833874165195	Q969J3	BORC5_HUMAN	BORCS5	not significant
Q9UHP3	0.038149163509620485	-0.40817329612551495	0.48447162314475595	12.30881067930957	0.18432400510975658	0.85655367771114	0.9246583843103624	-6.344836313001179	Q9UHP3	UBP25_HUMAN	USP25	not significant
Q96K19	-0.1113507678878847	-0.28861555319610244	0.06591401742033304	15.279786930149282	-1.255187784956412	0.21402947783897394	0.4317554130039118	-6.344879672063598	Q96K19	RN170_HUMAN	RNF170	not significant
O43252	-0.2028219786562057	-0.5657158168442095	0.16007185953179812	14.96983142194237	-1.1242177226516619	0.26660159433437997	0.488080910148434	-6.345000510692203	O43252	PAPS1_HUMAN	PAPSS1	not significant
P23378	0.1692567481639188	-0.10028387481427378	0.43879737114211137	23.345167233150413	1.254757273492567	0.2141847372490564	0.4318795009194015	-6.345411712571058	P23378	GCSP_HUMAN	GLDC	not significant
P49815	-0.1569324462776386	-0.7819510819546028	0.46808618939932567	13.291995456635297	-0.5233637893485464	0.6064058654138511	0.7800986802731877	-6.34740172603455	P49815	TSC2_HUMAN	TSC2	not significant
P28340	0.15207794641519048	-0.13840064518187076	0.4425565380122517	14.22452950350281	1.0563780402915648	0.2968008499790601	0.5183045002886839	-6.347782539620688	P28340	DPOD1_HUMAN	POLD1	not significant
P39023	-0.08908969118363735	-0.2312292389246229	0.0530498565573482	19.861005423913614	-1.2524214039884967	0.2150285938317172	0.4331196082377992	-6.34829543210323	P39023	RL3_HUMAN	RPL3	not significant
Q07075	0.07818649493712433	-0.046562735956646076	0.20293572583089475	18.43861201047672	1.2523676028913373	0.21504805888561115	0.4331196082377992	-6.348361791379622	Q07075	AMPE_HUMAN	ENPEP	not significant
P49721	0.09372426397477669	-0.05583087259108889	0.2432794005406423	21.33532341005652	1.252243141359137	0.21509309362706822	0.4331196082377992	-6.348515294160963	P49721	PSB2_HUMAN	PSMB2	not significant
Q96JX3	0.14906860599937904	-0.10004572673058054	0.39818293872933863	15.454668925431893	1.1986175167011082	0.23570356686192662	0.4556678448073776	-6.34947804133041	Q96JX3	SRAC1_HUMAN	SERAC1	not significant
Q12959	-0.06736466854231743	-0.17495530171598084	0.040225964631345965	17.785358149589975	-1.2511105052867415	0.21550324267060242	0.4336539212157703	-6.349911547020642	Q12959	DLG1_HUMAN	DLG1	not significant
P49585	-0.13292771237016335	-0.3452324964578585	0.07937707171753175	18.46542771546649	-1.2511048480400258	0.2155052927138987	0.4336539212157703	-6.349918517953418	P49585	PCY1A_HUMAN	PCYT1A	not significant
Q9BY50	0.08313713008162382	-0.049699756951120444	0.2159740171143681	17.06778294189356	1.2505881113816915	0.2156926056876581	0.4338830140297373	-6.35055512109388	Q9BY50	SC11C_HUMAN	SEC11C	not significant
P61764	0.18812701115918293	-0.1795656553517653	0.5558196776701312	13.017556342842338	1.0316624832728314	0.3079670694500271	0.5290440698580163	-6.350778903900211	P61764	STXB1_HUMAN	STXBP1	not significant
Q6NUM9	-0.07103623413684455	-0.18456805831156933	0.042495590037880226	18.994482938947915	-1.2502598102511173	0.21581167461845444	0.43397471920210823	-6.350959447669953	Q6NUM9	RETST_HUMAN	RETSAT	not significant
P02533	0.9641408129992404	-0.5771190468725589	2.5054006728710396	23.267908349051798	1.2499785381212336	0.2159137255171265	0.4340321521116914	-6.3513057742958985	P02533	K1C14_HUMAN	KRT14	not significant
Q6UUV9	-0.17979623436702258	-0.8154170692974403	0.4558246005633951	13.130439076796861	-0.5801614606261645	0.5665752509179127	0.7499312935726563	-6.351404408138265	Q6UUV9	CRTC1_HUMAN	CRTC1	not significant
Q9NU23	0.18561048342046874	-0.24337674161510894	0.6145977084560464	13.73731234463116	0.8790720130672494	0.3854909862788909	0.6019856596941114	-6.351733674780413	Q9NU23	LYRM2_HUMAN	LYRM2	not significant
Q9ULG1	-0.12613398708673101	-0.8901501820970776	0.6378822079236157	11.625034839326855	-0.3624440558685549	0.7237463196340734	0.851822591422646	-6.3521035967360024	Q9ULG1	INO80_HUMAN	INO80	not significant
Q6NT76	-0.17672976604872614	-0.6367733350430207	0.28331380294556846	13.167885319308409	-0.7866189779870257	0.4380578517195879	0.6469541566031223	-6.352761021503416	Q6NT76	HMBX1_HUMAN	HMBOX1	not significant
Q8WXA9	-0.18267546838072052	-0.4935679596027007	0.1282170228412597	15.52394399798156	-1.1769638988602829	0.244167681020793	0.46472907641276295	-6.353885134164659	Q8WXA9	SREK1_HUMAN	SREK1	not significant
Q9Y224	-0.08358443757469959	-0.21754378544582875	0.050374910296429556	18.03242001961798	-1.2467815207342672	0.21707616575142488	0.4354795634945365	-6.355237008063433	Q9Y224	RTRAF_HUMAN	RTRAF	not significant
Q96AT9	-0.07650093828710845	-0.6938687954759266	0.5408669189017097	13.500080937284656	-0.2600951165329335	0.7977045996183635	0.892788206432832	-6.355239297765112	Q96AT9	RPE_HUMAN	RPE	not significant
P51532	0.1257990753969501	-0.505987197102111	0.7575853478960113	13.598910997033368	0.41380696280594004	0.6831651149155538	0.8343988655176823	-6.35542603334766	P51532	SMCA4_HUMAN	SMARCA4	not significant
Q8N4T8	-0.08826057694504821	-0.2297421433061779	0.05322098941608147	19.57819865166288	-1.2465360980561502	0.21716559194639554	0.43551103091185467	-6.355538397723009	Q8N4T8	CBR4_HUMAN	CBR4	not significant
Q9NWS8	-0.08295212067385976	-0.215962826953362	0.05005858560564247	17.70312922830795	-1.2461744724406805	0.2172974091689022	0.4356093127999999	-6.355982386709323	Q9NWS8	RMND1_HUMAN	RMND1	not significant
P52657	0.22332159670952356	-0.20503623381935632	0.6516794272384034	12.421709170766912	1.0512244753640794	0.2989958897332003	0.5199851957491993	-6.356452955038212	P52657	T2AG_HUMAN	GTF2A2	not significant
Q05682	-0.0740030811486256	-0.1927060834038687	0.04469992110661751	21.099348462266732	-1.245736116356943	0.21745727462703754	0.4356093127999999	-6.3565204178033134	Q05682	CALD1_HUMAN	CALD1	not significant
Q86W42	-0.14229697140522896	-0.37057157100602245	0.08597762819556456	15.692736689109513	-1.2455926131264135	0.2175096280811378	0.4356093127999999	-6.356696512179486	Q86W42	THOC6_HUMAN	THOC6	not significant
Q9Y3A3	0.1803035644804626	-0.15785913383639658	0.5184662627973218	13.200935317488733	1.0744044674663047	0.28846733168957955	0.5108509927912015	-6.3569106675803	Q9Y3A3	PHOCN_HUMAN	MOB4	not significant
O15305	0.09711380571801104	-0.05871661179235421	0.2529442232283763	16.289411083851842	1.2452790916630687	0.21762404058735685	0.43569070634201007	-6.3570811706047605	O15305	PMM2_HUMAN	PMM2	not significant
P78524	-0.15354966040252802	-0.725369256833289	0.4182699360282329	11.327213514407099	-0.5580593072952438	0.5826405325925634	0.7629857209564537	-6.358480407623697	P78524	DEN2B_HUMAN	DENND2B	not significant
Q13363	-0.09791698178155205	-0.2551854066589221	0.05935144309581801	17.343097911117766	-1.2440975589754903	0.21805561207923363	0.4361363152969361	-6.35852996087901	Q13363	CTBP1_HUMAN	CTBP1	not significant
P61088	0.10265839520080916	-0.062229954306027346	0.26754674470764567	18.035819485813644	1.2440632381584245	0.21806815764846804	0.4361363152969361	-6.3585720253509255	P61088	UBE2N_HUMAN	UBE2N	not significant
Q9Y2U8	0.175182925401199	-0.12787922044367211	0.47824507124607013	15.040742685836094	1.1578524681001725	0.2518183118072788	0.4739372526038901	-6.358631676086087	Q9Y2U8	MAN1_HUMAN	LEMD3	not significant
Q2NKJ3	0.11820483461651235	-0.2507257466677104	0.48713541590073517	13.739288093886408	0.6700485823340532	0.5107917774948003	0.7079878521202277	-6.3590417503846695	Q2NKJ3	CTC1_HUMAN	CTC1	not significant
P01599	0.13629367667540856	-0.18492057569497547	0.4575079290457926	13.771066804528393	0.8688295470795413	0.3922660734576563	0.6074728732157277	-6.359063686267667	P01599	KV117_HUMAN	IGKV1-17	not significant
Q9H3Q1	-0.13401087919514268	-0.3518287635193337	0.08380700512904829	15.822967179354478	-1.2297605331092025	0.22341556307803767	0.441892938894471	-6.3594195479293045	Q9H3Q1	BORG4_HUMAN	CDC42EP4	not significant
Q9Y4B5	0.6472387261865847	-0.6920166277768648	1.9864940801500341	19.03566305562402	0.9829820219942215	0.33271853591025	0.5541688295091903	-6.359617047438024	Q9Y4B5	MTCL1_HUMAN	MTCL1	not significant
O75934	-0.15726685727161305	-0.41019460820491876	0.09566089366169267	17.20456606464283	-1.242449320346777	0.21865870613412128	0.4363458735949621	-6.360548836935761	O75934	SPF27_HUMAN	BCAS2	not significant
Q15382	0.1674681079106694	-0.12452926965101024	0.45946548547234906	13.93085349294276	1.1497365937962174	0.255297203547339	0.47692024533765853	-6.360657945213364	Q15382	RHEB_HUMAN	RHEB	not significant
Q9BUI4	0.20429090180651155	-0.2667977275779448	0.6753795311909678	13.241825330992295	0.8841801056657895	0.38335461662368553	0.6005363893647951	-6.360713472166899	Q9BUI4	RPC3_HUMAN	POLR3C	not significant
Q8IU80	0.11589368957627967	-0.07632184711745633	0.3081092262700157	14.710527789586648	1.2068042221910493	0.2323869597052074	0.4517700408225658	-6.360874564853925	Q8IU80	TMPS6_HUMAN	TMPRSS6	not significant
Q14197	-0.1102105367952538	-0.28750385498054554	0.06708278139003793	16.26890291251951	-1.2421347343543925	0.21877395311619635	0.4363458735949621	-6.360933873927754	Q14197	ICT1_HUMAN	MRPL58	not significant
Q96S59	0.15397768279867477	-0.5874710832181488	0.8954264488154983	13.209006149178496	0.43430251271561415	0.6689016131896033	0.8266725411506223	-6.360993732332005	Q96S59	RANB9_HUMAN	RANBP9	not significant
Q99729	-0.1248216971266257	-0.3256394543786019	0.07599606012535053	19.493492615769796	-1.242012387746393	0.21881878623812898	0.4363458735949621	-6.361083594779819	Q99729	ROAA_HUMAN	HNRNPAB	not significant
O00400	0.12251998732175044	-0.07467685712836848	0.3197168317718694	15.702422152015592	1.2418839437217482	0.21893923750671365	0.4363458735949621	-6.361193899446574	O00400	ACATN_HUMAN	SLC33A1	not significant
Q15283	0.066270283353423	-0.7590419448466434	0.8915825115534894	13.025043674131785	0.1700227497205411	0.8670929643428638	0.9307617316264909	-6.361336417749118	Q15283	RASA2_HUMAN	RASA2	not significant
Q9H2J4	0.15194840014961195	-0.1755493562725474	0.47944615657177125	12.615039950076469	0.9436963480210948	0.3521350741495899	0.5702521930154861	-6.361697849480441	Q9H2J4	PDCL3_HUMAN	PDCL3	not significant
Q6JQN1	0.07558839873642327	-0.04608465542323094	0.1972614528960775	19.25324080979643	1.2413627026857998	0.21905697232239416	0.4363458735949621	-6.36187840732505	Q6JQN1	ACD10_HUMAN	ACAD10	not significant
P07195	0.07559087480282402	-0.04610442337929531	0.19728617298494333	18.04893753711692	1.2411764569090997	0.21912528847564874	0.4363458735949621	-6.3621061838993604	P07195	LDHB_HUMAN	LDHB	not significant
O94915	-0.11970733757169733	-0.7463686807300358	0.506954005586641	13.11135904618022	-0.40260770045017824	0.6921866898239831	0.8375314125394356	-6.362205102849172	O94915	FRYL_HUMAN	FRYL	not significant
Q8N5G0	-0.1148998376244878	-0.29990333154776416	0.07010365629878859	15.261479380158985	-1.2410161733062959	0.21918409407536274	0.4363458735949621	-6.3623021829625745	Q8N5G0	SIM20_HUMAN	SMIM20	not significant
Q9Y333	-0.13887116267793376	-0.3644566645221212	0.08671433916625373	14.977793141541792	-1.2304810140618385	0.22314767959083098	0.4415109533210881	-6.362831339750317	Q9Y333	LSM2_HUMAN	LSM2	not significant
Q9BXF3	0.15077797094629408	-0.12195862399305107	0.42351456588563924	15.000516863695553	1.1139961084164889	0.27129740949720266	0.49255533368904975	-6.363002066686801	Q9BXF3	CECR2_HUMAN	CECR2	not significant
O96008	0.10430983317050636	-0.06373167276676987	0.2723513391077826	16.25705275931675	1.2403568310662334	0.21942611867129572	0.4363458735949621	-6.363108190740393	O96008	TOM40_HUMAN	TOMM40	not significant
Q8IXT5	-0.138656679663027	-0.3620317942140634	0.0847184348880094	16.77716290082143	-1.2403491827459232	0.219428927290389	0.4363458735949621	-6.3631175379769	Q8IXT5	RB12B_HUMAN	RBM12B	not significant
Q5VZ89	-0.1602107062027303	-0.4282033310639092	0.10778191865844855	13.780014137712522	-1.196559261591702	0.23632720831088633	0.45617772965372133	-6.363160302255632	Q5VZ89	DEN4C_HUMAN	DENND4C	not significant
Q6ZS30	0.09160440484759338	-0.40442200458372113	0.587630814278908	13.392163580729381	0.38379745250568464	0.7049445449493292	0.842452950722529	-6.363488796802676	Q6ZS30	NBEL1_HUMAN	NBEAL1	not significant
P62745	-0.007305665383022205	-0.48908428230510054	0.47447295153905616	13.904653901986983	-0.032473198637614255	0.9745456339108747	0.9872498308537951	-6.363601178367988	P62745	RHOB_HUMAN	RHOB	not significant
Q9H3P2	-0.1389074301240002	-0.38172032512032	0.10390546487231961	14.003724189097804	-1.1468296733051058	0.25648641762115315	0.4777340717271463	-6.364348504251722	Q9H3P2	NELFA_HUMAN	NELFA	not significant
P63267	-0.18863260058684028	-0.5178180477334663	0.14055284655978573	11.40279515039469	-1.1502745284700775	0.2553715194791824	0.47692024533765853	-6.364391026650276	P63267	ACTH_HUMAN	ACTG2	not significant
A8MQ03	0.20812830514461514	-0.8415418833669307	1.257798493656161	16.20296029997256	0.4161862571886185	0.6821311854039993	0.8342652269612798	-6.36450616902234	A8MQ03	CRTP1_HUMAN	CYSRT1	not significant
Q14241	-0.1966504588623719	-0.5650906647816053	0.17178974705686148	14.863690165163888	-1.0755166572089172	0.28797487954237166	0.5108295690860426	-6.364668288708986	Q14241	ELOA1_HUMAN	ELOA	not significant
Q13496	-0.08741664554791838	-0.2284865915245941	0.053653300428757364	16.27362206756479	-1.2382193714315275	0.2202120658967236	0.437556488517853	-6.365718307128428	Q13496	MTM1_HUMAN	MTM1	not significant
Q08495	0.1167415312810457	-0.07331589830174101	0.3067989608638324	13.71736970933797	1.2277630647910165	0.22415947781349096	0.443067562237777	-6.365726257008122	Q08495	DEMA_HUMAN	DMTN	not significant
Q9UG01	0.15596127197970547	-0.20479923263816432	0.5167217765975752	15.055249949710332	0.8803403571432511	0.3851914907557511	0.6019856596941114	-6.367604475764727	Q9UG01	IF172_HUMAN	IFT172	not significant
Q12792	-0.10785718756857704	-0.28214348229927344	0.06642910716211933	16.48446998571935	-1.2365845369457	0.22081459115882485	0.4382160535564582	-6.367711759149745	Q12792	TWF1_HUMAN	TWF1	not significant
A0A075B6I0	0.22939986253781325	-0.2618839574739499	0.7206836825495764	15.028314883887694	0.9508533059202035	0.3487542913474593	0.5683617121131607	-6.367714184195294	A0A075B6I0	LV861_HUMAN	IGLV8-61	not significant
P62891;Q59GN2	-0.06565556260436925	-0.17180858664925092	0.04049746144051242	20.51906903657841	-1.2358823026958092	0.22107377384797372	0.43843576505914467	-6.3685672654227306	P62891;Q59GN2	R39L5_HUMAN;RL39_HUMAN	RPL39;RPL39P5	not significant
Q5VWN6	-0.131109198752049	-0.9624366877559393	0.7002182902518413	13.170760969589766	-0.33103237719088413	0.7443937934620457	0.8623390551130774	-6.369827790693502	Q5VWN6	TASO2_HUMAN	TASOR2	not significant
P24158	0.27148477175816105	-0.24603267135344337	0.7890022148697655	15.923417167228285	1.057771670555918	0.2960340425781874	0.5177308426019469	-6.371272548829674	P24158	PRTN3_HUMAN	PRTN3	not significant
Q9BYM8	0.1885522833898083	-0.1904608996663156	0.5675654664459322	16.56517777436501	1.0087136613164644	0.3198008419515246	0.5408773690050699	-6.371402730528329	Q9BYM8	HOIL1_HUMAN	RBCK1	not significant
Q08554	0.43250533137036895	-0.26842094723040777	1.1334316099711457	21.024674980274984	1.232982974174297	0.22214623053080215	0.4399717094282084	-6.372094509803418	Q08554	DSC1_HUMAN	DSC1	not significant
Q9UMS6	0.033128838419382266	-0.5588949357939923	0.6251526126327569	14.791142260551275	0.11745635306697888	0.9077825263840766	0.9514398581764609	-6.372116802219938	Q9UMS6	SYNP2_HUMAN	SYNPO2	not significant
Q9H871	-0.14620122890265677	-0.38325829581760207	0.0908558380122885	17.553738768771673	-1.2323556864907066	0.22237876430981848	0.44028460677632847	-6.3728566124217	Q9H871	RMD5A_HUMAN	RMND5A	not significant
